add-none,1,10,20,174478,8723,0
add-none,1,20,40,201276,5031,0
add-none,1,40,80,159180,1989,0
add-none,1,80,160,162218,1013,0
add-none,1,100,200,160781,803,0
add-none,1,1000,2000,162345,81,0
add-none,1,10000,20000,145585,7,0
add-none,1,100000,200000,207220,1,0
add-none,2,10,40,177394,4434,0
add-none,2,20,80,166096,2076,0
add-none,2,40,160,170298,1064,0
add-none,2,80,320,173943,543,0
add-none,2,100,400,167098,417,0
add-none,2,1000,4000,170210,42,0
add-none,2,10000,40000,181644,4,0
add-none,2,100000,400000,173601,0,0
add-none,4,10,80,216473,2705,0
add-none,4,20,160,216148,1350,0
add-none,4,40,320,218376,682,0
add-none,4,80,640,204248,319,0
add-none,4,100,800,1366763,1708,0
add-none,4,1000,8000,206383,25,0
add-none,4,10000,80000,212661,2,0
add-none,4,100000,800000,177393,0,0
add-none,8,10,160,350268,2189,0
add-none,8,20,320,385170,1203,0
add-none,8,40,640,321230,501,0
add-none,8,80,1280,317636,248,0
add-none,8,100,1600,326056,203,0
add-none,8,1000,16000,313576,19,0
add-none,8,10000,160000,304833,1,0
add-none,8,100000,1600000,289485,0,0
add-none,12,10,240,437035,1820,0
add-none,12,20,480,429886,895,0
add-none,12,40,960,443735,462,0
add-none,12,80,1920,450625,234,0
add-none,12,100,2400,408269,170,0
add-none,12,1000,24000,482015,20,0
add-none,12,10000,240000,478147,1,0
add-none,12,100000,2400000,433987,0,0
add-yield-none,1,10,20,148948,7447,0
add-yield-none,1,20,40,200066,5001,0
add-yield-none,1,40,80,162644,2033,0
add-yield-none,1,80,160,166562,1041,0
add-yield-none,1,100,200,214907,1074,0
add-yield-none,1,1000,2000,161390,80,0
add-yield-none,1,10000,20000,161811,8,0
add-yield-none,1,100000,200000,161862,0,0
add-yield-none,2,10,40,152144,3803,0
add-yield-none,2,20,80,195330,2441,0
add-yield-none,2,40,160,173639,1085,0
add-yield-none,2,80,320,201701,630,0
add-yield-none,2,100,400,127321,318,0
add-yield-none,2,1000,4000,223733,55,0
add-yield-none,2,10000,40000,177607,4,0
add-yield-none,2,100000,400000,169718,0,0
add-yield-none,4,10,80,227010,2837,0
add-yield-none,4,20,160,202649,1266,0
add-yield-none,4,40,320,205174,641,0
add-yield-none,4,80,640,1006266,1572,0
add-yield-none,4,100,800,182619,228,0
add-yield-none,4,1000,8000,220989,27,0
add-yield-none,4,10000,80000,218260,2,0
add-yield-none,4,100000,800000,206748,0,0
add-yield-none,8,10,160,359318,2245,0
add-yield-none,8,20,320,285858,893,0
add-yield-none,8,40,640,322665,504,0
add-yield-none,8,80,1280,328910,256,0
add-yield-none,8,100,1600,320871,200,1
add-yield-none,8,1000,16000,316802,19,0
