add-none,1,10,20,148471,7423,0
add-none,1,20,40,142251,3556,0
add-none,1,40,80,146433,1830,0
add-none,1,80,160,142858,892,0
add-none,1,100,200,141791,708,0
add-none,1,1000,2000,144488,72,0
add-none,1,10000,20000,142131,7,0
add-none,1,100000,200000,195607,0,0
add-none,2,10,40,175946,4398,0
add-none,2,20,80,173975,2174,0
add-none,2,40,160,172543,1078,0
add-none,2,80,320,217093,678,0
add-none,2,100,400,159156,397,0
add-none,2,1000,4000,191700,47,0
add-none,2,10000,40000,161394,4,0
add-none,2,100000,400000,185269,0,0
add-none,4,10,80,212156,2651,0
add-none,4,20,160,211602,1322,0
add-none,4,40,320,240709,752,0
add-none,4,80,640,182665,285,0
add-none,4,100,800,228973,286,0
add-none,4,1000,8000,230335,28,0
add-none,4,10000,80000,230266,2,0
add-none,4,100000,800000,225883,0,0
add-none,8,10,160,282264,1764,0
add-none,8,20,320,274157,856,0
add-none,8,40,640,267337,417,0
add-none,8,80,1280,252009,196,0
add-none,8,100,1600,254433,159,0
add-none,8,1000,16000,265355,16,0
add-none,8,10000,160000,271560,1,0
add-none,8,100000,1600000,253493,0,0
add-none,12,10,240,347264,1446,0
add-none,12,20,480,363655,757,0
add-none,12,40,960,495861,516,0
add-none,12,80,1920,475569,247,0
add-none,12,100,2400,452801,188,0
add-none,12,1000,24000,437088,18,0
add-none,12,10000,240000,482095,2,0
add-none,12,100000,2400000,447566,0,0
add-yield-none,1,10,20,213709,10685,0
add-yield-none,1,20,40,141997,3549,0
add-yield-none,1,40,80,154523,1931,0
add-yield-none,1,80,160,143427,896,0
add-yield-none,1,100,200,141407,707,0
add-yield-none,1,1000,2000,188447,94,0
add-yield-none,1,10000,20000,137085,6,0
add-yield-none,1,100000,200000,147259,0,0
add-yield-none,2,10,40,174016,4350,0
add-yield-none,2,20,80,171113,2138,0
add-yield-none,2,40,160,173474,1084,0
add-yield-none,2,80,320,191822,599,0
add-yield-none,2,100,400,161359,403,0
add-yield-none,2,1000,4000,185862,46,0
add-yield-none,2,10000,40000,158970,3,0
add-yield-none,2,100000,400000,151637,0,0
add-yield-none,4,10,80,237602,2970,0
add-yield-none,4,20,160,195769,1223,0
add-yield-none,4,40,320,247236,772,0
add-yield-none,4,80,640,187258,292,0
add-yield-none,4,100,800,185488,231,0
add-yield-none,4,1000,8000,206012,25,0
add-yield-none,4,10000,80000,241624,3,0
add-yield-none,4,100000,800000,216923,0,0
add-yield-none,8,10,160,297681,1860,0
add-yield-none,8,20,320,273271,853,1
add-yield-none,8,40,640,305936,478,0
add-yield-none,8,80,1280,352023,275,0
add-yield-none,8,100,1600,306994,191,1
add-yield-none,8,1000,16000,307589,19,0
add-yield-none,8,10000,160000,344916,2,0
add-yield-none,8,100000,1600000,367163,0,0
add-yield-none,12,10,240,441319,1838,0
add-yield-none,12,20,480,428598,892,0
add-yield-none,12,40,960,453004,471,0
add-yield-none,12,80,1920,378601,197,0
add-yield-none,12,100,2400,416727,173,0
add-yield-none,12,1000,24000,393625,16,0
add-yield-none,12,10000,240000,404563,1,0
add-yield-none,12,100000,2400000,398728,0,0
add-m,1,10,20,125674,6283,0
add-m,1,20,40,144864,3621,0
add-m,1,40,80,143803,1797,0
add-m,1,80,160,153517,959,0
add-m,1,100,200,196525,982,0
add-m,1,1000,2000,209194,104,0
add-m,1,10000,20000,831989,41,0
add-m,2,10,40,175588,4389,0
add-m,2,20,80,176237,2202,0
add-m,2,40,160,177439,1108,0
add-m,2,80,320,183530,573,0
add-m,2,100,400,181030,452,0
add-m,2,1000,4000,396043,99,0
add-m,2,10000,40000,3881230,97,0
add-m,4,10,80,173215,2165,0
add-m,4,20,160,173912,1086,0
add-m,4,40,320,235461,735,0
add-m,4,80,640,252622,394,0
add-m,4,100,800,239495,299,0
add-m,4,1000,8000,1091491,136,0
add-m,4,10000,80000,11645656,145,0
add-m,8,10,160,288671,1804,0
add-m,8,20,320,269931,843,0
add-m,8,40,640,305086,476,0
add-m,8,80,1280,312282,243,0
add-m,8,100,1600,310113,193,0
add-m,8,1000,16000,2313783,144,0
add-m,8,10000,160000,23021730,143,0
add-m,12,10,240,407085,1696,0
add-m,12,20,480,354658,738,0
add-m,12,40,960,377617,393,0
add-m,12,80,1920,399152,207,0
add-m,12,100,2400,371571,154,0
add-m,12,1000,24000,3688294,153,0
add-m,12,10000,240000,34991334,145,0
add-s,1,10,20,157792,7889,0
add-s,1,20,40,163789,4094,0
add-s,1,40,80,125192,1564,0
add-s,1,80,160,169706,1060,0
add-s,1,100,200,178773,893,0
add-s,1,1000,2000,189541,94,0
